code,name_ar,name_en
10619300002,الغزال العربي,"Al - Ghazal Al , Arabi"
10619300003,غزال الريم,Reem deer
10619300004,الوعل النوبي,Nubian deer.
10619300005,الايل الأسمر,brown deer.
10619300006,الوعل الاصفهاني,Asfahani deer
10619300007,نيلجاي,Niljay deer.
10619309999,غزلان و ظباء اخر,Other gazelles and deer
10619400000,- - - كلاب :,- - - Dogs :
10619400001,كلاب (للحراسة),Dogs (for guarding)
10619400002,كلاب (للصيد),Dogs (for hunting)
10619409999,غيرها من كلاب,Other dogs
10619500000,- - - ثعالب ومنك وأمثالها من حيوانات الفراء :,"- - -  Foxes, minks and other fur animals :"
10619500001,ثعالب,Foxes
10619500002,منك,Mink
10619500003,راكون,Raccoon
10619500004,مارا,Mara
10619500005,السناجب بما فيها السناجب الطائرة,Squirrels including flying squirrels
10619500006,القنافذ,Hedgehogs
10619509999,غيرها من حيوانات الفراء,Other fur animals
10619600000,- - - حيوانات حدائق ومعارض الحيوان وحيوانات مستوردة لهيئات علمية لمختبرات التجارب والبحوث :,"- - - Animals for zoos, fairs, and imported animals for scientific experiment and research labs :"
10619600001,حيوانات حدائق,Animals for zoos
10619600002,حيوانات معارض الحيوان,Animals for fairs
10619600003,حيوانات مستورده لهيئات علميه لمختبرات التجارب والبحوث,Animals imported for scientific experiment and research labs
10619900000,- - - غيرها :,- - - Other :
10619900002,قطط,Cats
10619900003,فئران,Mice
10619900004,أسود,lions
10619900005,نمور,tigers
10619900006,فهود,leopards
10619900007,ضباع,hyenas
10619900008,فيلة,Elephants
10619900009,زرافات,Giraffes
10619900011,دببة,Bears
10619900012,عقارب,Scorpions
10619900013,عناكب,Spiders
10619900014,حيوانات مفترسة (الوشق),Lynx
10619900015,حيوانات مفترسة (الذئاب),Wolves
10619900016,الحمار الوحشي,Zebra
10619900017,وحيد القرن,Rhinoceros
10619900018,فرس النهر,Hippopotamus
10619900019,حيوان الزباد,Civet
10619909999,غيرها,Other
10620000000,- زواحف (بما فيها الثعابين والسلاحف ) :,- Reptiles (including snakes and turtles) :
10620000001,الثعابين,snakes
10620000002,السلاحف,Turtles
10620000003,الإجوانا,Iguanas
10620000004,التماسيح,Crocodiles
10620000005,الضبان,Al dabb
10620000006,الحرباء,Chamelea
10620009999,غيرها من الزواحف,Other reptiles
10630000000,- طيور:,- Birds:
10631000000,- - طيور جارحة :,- - Birds of prey :
10631000001,صقور,Falcon
10631000002,البوم,Owls
10631009999,غيرها من طيور جارحة,Other birds of prey
10632000000,- - ببغاوات (بما فيها الببغاوات العادية  والباراكيت  والمكاو  والكوكاتو) :,"- - Psittaciformes (including parrots, parakeets, macaws and cockatoos) :"
10632100000,- - - ببغاء الأمازوني,Parrots
10632200000,- - - البركيت(بيضاء وصغير الجسم),Parakeets
10632300000,- - - المكاو(ببغاء فخم طويل الذيل),Macaw
10632400000,- - - كوكاتو (ببغاء ذو عرف),Cockatoo
10632500000,- - - الببغاء الاسيوي,Asian parrot
10632600000,- - - الببغاء الافريقي,African parrot
10632900000,- - - ببغاوات اخر,Other parrots
10633000000,- - نعام ؛ آمو ( درومايوس ونوفيهولنداي ),-- Ostriches; emus (Dromaius novaehollandiae)
10639000000,- - غيرها :,- - Other:
10639100000,- - - حمام أليف، حمام بري، حجل، تدرج، سماني، دجاج الأرض، شنقب، قطا، أرطلان، بط بري :,"- - - Tame and wild pigeons, partridges, pheasants, quail, snipe, sand grouse, wild ducks :"
10639100001,حمام أليف,Tame pigeons
10639100003,حجل,Partridge
10639100005,سماني,Quail
10639100008,قطا,Pterocles
10639100009,حمام بري,Wild pigeons
10639100010,طيور التدرج,Pheasants
10639100011,دجاج الأرض,Snipe
10639100012,طيور الشنقب,Woodcock
10639100013,طيور أرطلان,Ortolan
10639100014,البط البري,Wild ducks
10639200000,- - - طيور الزينة,- - - Ornamental birds
10639900000,- - - غيرها :,- - - Other :
10639900001,حباري,Houbara
10639909999,غيرها,Other
10640000000,- حشرات :,- Insects:
10641000000,- - نحل,- - Bees
10649000000,- - غيرها :,- - Other :
10649000001,جراد,Locust
10649000002,فراشات,Butterflies
10649000004,ديدان,Worms
10649009999,غيرها,Other
10690000000,- غيرها,- Other
20100000000,لحوم فصيلة الأبقار، طازجة أو مبردة.,"Meat of bovine animals, fresh or chilled."
20110000000,- ذبائح كاملة وأنصاف ذبائح :,- Carcasses and half-carcasses :
20110000001,ذبائح أبقار كاملة طازجة,Fresh carcasses of bovine animals
20110000002,أنصاف ذبائح أبقار طازجة,Fresh half-carcasses of bovine animals
20110000003,ذبائح أبقار كاملة مبردة,Chilled carcasses of bovine animals
20110000004,أنصاف ذبائح أبقار مبردة,Chilled half-carcasses of bovine animals
20120000000,- قطع أخر بعظمها,- Other cuts with bone in
20130000000,- دون عظام,- Boneless
20200000000,لحوم فصيلة الأبقار، مجمدة.,"Meat of bovine animals, frozen."
20210000000,- ذبائح كاملة وأنصاف ذبائح :,- Carcasses and half-carcasses :
20210000001,ذبائح أبقار كاملة مجمده,Frozen carcasses of bovine animals
20210000002,أنصاف ذبائح أبقار مجمده,Frozen half-carcasses of bovine animals
20220000000,- قطع أخر بعظمها,- Other cuts with bone in
20230000000,- دون عظام :,- Boneless:
20230100000,- - - مفروم,- - - Minced
20230900000,- - - غيرها,- - - Other
20300000000,لحوم فصيلة الخنازير، طازجة أو مبردة أو مجمدة.,"Meat of swine, fresh, chilled or frozen."
20310000000,- طازجة أو مبردة:,- Fresh or chilled:
20311000000,- - ذبائح كاملة وأنصاف ذبائح,- - carcasses and half-carcasses
20312000000,- - أفخاذ وأكتاف وقطعها، بعظمها,"- - Hams, shoulders and cuts thereof, with bone in"
20319000000,- - غيرها,- - Other
20320000000,- مجمدة:,- Frozen:
20321000000,- - ذبائح كاملة وأنصاف ذبائح,- - carcasses and half-carcasses
20322000000,- - أفخاذ وأكتاف وقطعها، بعظمها,"- - Hams, shoulders and cuts thereof, with bone in"
20329000000,- - غيرها,- - Other
20400000000,لحوم فصيلة الضأن أو الماعز، طازجة أو مبردة أو مجمدة.,"Meat of sheep or goats, fresh, chilled or frozen."
20410000000,- ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة :,"- Carcasses and half-carcasses of lambs, fresh or chilled :"
20410000001,ذبائح كاملة حملان طازجة,Fresh carcasses of lambs
20410000002,أنصاف ذبائح حملان طازجة,Fresh half-carcasses of lambs
20410000003,ذبائح كاملة حملان مبرده,Chilled carcasses of lambs
20410000004,أنصاف ذبائح حملان مبرده,Chilled half-carcasses of lambs
20420000000,- لحوم ضأن أخر طازجة أو مبردة:,"- Other meat of sheep, fresh or chilled:"
20421000000,- - ذبائح كاملة وأنصاف ذبائح :,- - carcasses and half-carcasses :
20421000001,ذبائح ضأن كاملة طازجة,Fresh carcasses of sheep
20421000002,أنصاف ذبائح ضأن طازجة,Fresh half-carcasses of sheep
20421000003,ذبائح ضأن كاملة مبردة,Chilled carcasses of sheep
20421000004,أنصاف ذبائح ضأن مبردة,Chilled half-carcasses of sheep
20422000000,- - قطع أخر بعظمها,- - Other cuts with bone in
20423000000,- - دون عظام :,- - Boneless:
20423000001,لحوم ضأن دون عظام طازجة,Fresh boneless sheep
20423000002,لحوم ضأن دون عظام مبردة,Chilled boneless sheep
20423000003,لحوم حملان دون عظام طازجة,Fresh boneless lambs
20423000004,لحوم حملان دون عظام مبردة,Chilled boneless lambs
20430000000,- ذبائح كاملة وأنصاف ذبائح حملان، مجمدة :,"- Carcasses and half-carcasses of lambs, frozen :"
20430000001,ذبائح كاملة حملان مجمده,Frozen carcasses of lambs
20430000002,أنصاف ذبائح حملان مجمده,Frozen half-carcasses of lambs
20440000000,- لحوم ضأن أخر، مجمدة:,"- Other meat of sheep, frozen:"
20441000000,- - ذبائح كاملة وأنصاف ذبائح :,- - Carcasses and half-carcasses :
20441000001,ذبائح ضأن كاملة مجمده,Frozen carcasses of sheep
20441000002,أنصاف ذبائح ضأن مجمده,Frozen half-carcasses of sheep
20442000000,- - قطع أخر بعظمها,- - Other cuts with bone in
20443000000,- - دون عظام:,- - Boneless:
20443100000,- - - مفروم :,- - - Minced :
20443100001,مفروم طازج,Fresh minced
20443100002,مفروم مبردة,Chilled minced
20443100003,مفروم مجمد,Frozen minced
20443900000,- - - غيرها,- - - Other
20450000000,- لحوم فصيلة الماعز:,- Meat of goats:
20450100000,- - - ذبائح كاملة وأنصاف ذبائح :,- - - Carcasses and half-carcasses
20450110000,- - - - طازجة أو مبردة :,- - - - Fresh or chilled
20450110001,ذبائح ماعز كاملة طازجة,Fresh carcasses of goats
20450110002,أنصاف ذبائح ماعز طازجة,Fresh half-carcasses of goats
20450110003,ذبائح ماعز كاملة مبرده,Chilled carcasses of goats
20450110004,أنصاف ذبائح ماعز مبرده,Chilled half-carcasses of goats
20450120000,- - - - مجمدة :,- - - - Frozen :
20450120001,ذبائح ماعز كاملة مجمده,Frozen carcasses of goats
20450120002,أنصاف ذبائح ماعز مجمده,Frozen half-carcasses of goats
20450200000,- - - قطع أخر بعظمها:,- - - Other cuts with bone in:
20450210000,- - - - طازجة أو مبردة :,- - - - Fresh or chilled :
20450210001,صدور ماعز طازجة,Fresh breasts of goats
20450210003,ظهور الماعز طازجة,Fresh backs of goats
20450210004,افخاذ الماعز طازجة,Fresh legs of goats
20450210005,رؤوس الماعز طازجة,Fresh heads of goats
20450210006,اكتاف الماعز طازجة,Fresh shoulders of goats
20450210007,صدور ماعز مبردة,Chilled breasts of goats
20450210009,ظهور الماعز مبردة,Chilled backs of goats
20450210010,افخاذ الماعز مبردة,Chilled legs of goats
20450210012,اكتاف الماعز مبرده,Chilled shoulders of goats
20450220000,- - - - مجمدة :,- - - - Frozen :
20450220001,صدور ماعز مجمده,Frozen breasts of goats
20450220003,ظهور الماعز مجمده,Frozen backs of goats
20450220004,افخاذ الماعز مجمده,Frozen legs of goats
20450220006,اكتاف الماعز مجمده,Frozen shoulders of goats
20450220007,رقاب الماعز مجمده,Frozen necks of goats
20450220008,رؤوس ماعز مجمدة,Frozen heads of goats
20450300000,- - - دون عظام:,- - - Boneless:
20450310000,- - - - طازجة أو مبردة :,- - - - Fresh or chilled :
20450310001,اوصال أو قطع لحوم ماعز طازجة,Fresh joints or cuts of goats
20450310002,اوصال أو قطع لحوم ماعز مبردة,Chilled joints or cuts of goats
20450320000,- - - - مجمدة,- - - - Frozen
20500000000,لحوم فصائل الخيول والحمير والبغال والنغال، طازجة أو مبردة أو مجمدة.,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
20500100000,- - - لحوم فصيلة الخيل,- - - Meat of horses
20500900000,- - - غيرها,- - - Other
20600000000,أحشاء وأطراف صالحة للأكل من فصائل الأبقار والخنازير والضأن والماعز والخيل والحمير والبغال والنغال، طازجة أو مبردة أو مجمدة.,"Edible offal of bovine animals, swine, sheep, goats, horses,asses, mules or hinnies, fresh, chilled or frozen."
20610000000,- من فصيلة الأبقار، طازجة أو مبردة,"- Of bovine animals, fresh or chilled"
20620000000,- من فصيلة الأبقار، مجمدة:,"- Of bovine animals, frozen:"
20621000000,- - ألسنة,- - Tongues
20622000000,- - أكباد,- - Livers
20629000000,- - غيرها,- - Other
20630000000,- من فصيلة الخنازير، طازجة أو مبردة,"- Of swine, fresh or chilled"
20640000000,- من فصيلة الخنازير، مجمدة:,"- Of swine, frozen:"
20641000000,- - أكباد,- - Livers
20649000000,- - غيرها,- - Other
20680000000,- غيرها، طازجة أو مبردة:,"- Other, fresh or chilled:"
20680100000,- - - من فصيلتي الضأن والماعز,- - - Of sheep or goats
20680200000,- - - من حمير وبغال ونغال,"- - - Of asses, mules or hinnies"
20680900000,- - - غيرها,- - - Other
20690000000,- غيرها، مجمدة:,"- Other, frozen:"
20690100000,- - - من فصيلتي الضأن والماعز:,- - - Of sheep or goats:
20690110000,- - - - ألسنة,- - - - Tongues
20690120000,- - - - أكباد,- - - - Livers
20690190000,- - - - غيرها,- - - - Other
20690900000,- - - غيرها  :,- - - Other :
20690910000,- - - - من حمير وبغال ونغال,"- - - - Of asses, mules or hinnies"
20690990000,- - - - غيرها,- - - - Other
20700000000,لحوم وأحشاء وأطراف صالحة للأكل من طيور الدواجن المذكورة في البند 01.05 طازجة أو مبردة أو مجمدة.,"Meat and edible offal, of the poultry of heading 01.05,fresh, chilled or frozen."
20710000000,- من دواجن من فصيلة جالوس دوميستكوس:,- Of fowls of the species Gallus domesticus:
20711000000,- - غير مقطعة، طازجة أو مبردة,"- - Not cut in pieces, fresh or chilled"
20712000000,- - غير مقطعة، مجمدة :,"- - Not cut in pieces, frozen :"
20712000002,دجاج لاحم غير مقطع مجمده,Frozen uncut fowls (broilers)
20712000003,دجاج بياض غير مقطع مجمد,Frozen uncut fowls (layers)
20712009999,غيرها,Other
20713000000,- - قطع وأحشاء وأطراف، طازجة أو مبردة :,"- - Cuts and offal, fresh or chilled :"
20713000001,صدور طازجة,Fresh breasts
20713000002,فخوذ طازجة,Fresh thighs
20713000003,جوانح طازجة,Fresh wings
20713000004,مفروم طازجة,Fresh minced
20713000008,صدور مبرده,Chilled breasts
20713000009,فخوذ مبرده,Chilled thighs
20713000010,جوانح مبرده,Chilled wings
20713000011,مفروم مبرده,Chilled Minced
20713009999,غيرها,Other
20714000000,- - قطع وأحشاء وأطراف، مجمدة :,"- - Cuts and offal, frozen :"
20714000015,صدور مجمدة,Frozen breasts
20714000016,فخوذ مجمدة,Frozen thighs
20714000017,جوانح مجمدة,Frozen wings
20714000018,مفروم مجمدة,Frozen Minced
20714009999,غيرها,Other
20720000000,- من ديوك ودجاج رومي:,- Of turkeys:
20724000000,- - غير مقطعة، طازجة أو مبردة :,"- - Not cut in pieces, fresh or chilled :"
20724000001,ديوك روميه كاملة طازجة,Whole fresh turkeys (males)
20724000003,ديوك روميه كاملة مبردة,Whole chilled turkeys (males)
20724000004,دجاجات روميه كاملة طازجة,Whole fresh turkeys (females)
20724000005,دجاجات روميه كاملة مبردة,Whole chilled turkeys (females)
20725000000,- - غير مقطعة، مجمدة :,"- - Not cut in pieces, frozen :"
20725000001,لحوم ديوك روميه كاملة غير مقطعة مجمدة,Whole frozen turkeys (males)
20725000002,لحوم دجاجات روميه كاملة مجمدة,Whole frozen turkeys (females)
20726000000,- - قطع وأحشاء وأطراف، طازجة أو مبردة,"- - Cuts and offal, fresh or chilled"
20727000000,- - قطع وأحشاء وأطراف، مجمدة,"- - Cuts and offal, frozen"
20740000000,- من بط :,- Of ducks:
20741000000,- - غير مقطعة، طازجة أو مبردة :,"- - Not cut in pieces, fresh or chilled :"
20741000001,بط كامل طازج,Whole fresh duck
20741000002,بط كامل مبرد,Whole chilled duck
20742000000,- - غير مقطعة، مجمدة,"- - Not cut in pieces, frozen"
20743000000,- - أكباد دسمة، طازجة أو مبردة :,"- - Fatty livers, fresh or chilled :"
20743000001,أكباد دسمة طازجة,Fresh fatty livers
20743000002,أكباد دسمة مبردة,Chilled fatty livers
20744000000,- - غيرها، طازجة أو مبردة,"- - Other, fresh or chilled"
20745000000,- - غيرها، مجمده,"- - Other, frozen"
20750000000,- من إوز:,- Of geese:
20751000000,- - غير مقطعة، طازجة أو مبردة :,"- - Not cut in pieces, fresh or chilled :"
20751000001,إوز كاملة طازجة,Whole fresh geese
20751000002,إوز كاملة مبردة,Whole chilled geese
20752000000,- - غير مقطعة، مجمدة,"- - Not cut in pieces, frozen"
20753000000,- - أكباد دسمة، طازجة أو مبردة :,"- - Fatty livers, fresh or chilled :"
20753000001,أكباد دسمة، طازجة,"Fatty livers, fresh"
20753000002,أكباد دسمة مبردة,"Chilled fatty, livers"
20754000000,- - غيرها، طازجة أو مبردة,"- - Other, fresh or chilled"
20755000000,- - غيرها، مجمدة,"- - Other, frozen"
20760000000,- من دجاج غينيا ( غرغر ) :,- Of guinea fowls :
20760100000,- - - لحوم للأكل من دجاج غينيا طازجة أو مبردة أو مجمدة :,"Edible meat of guinea fowls fresh, chilled or frozen :"
20760100001,لحوم للأكل من دجاج غينيا طازجة أو مبردة,"Edible meat of guinea fowls, fresh or chilled"
20760100002,لحوم للأكل من دجاج غينيا مجمدة,"Edible meat of guinea fowls, frozen"
20760200000,- - - أحشاء وأطراف للأكل من دجاج غينيا طازجة أو مبردة أو مجمدة:,"Edible offal of guinea fowls fresh, chilled or frozen :"
20760200001,أحشاء وأطراف للأكل من دجاج غينيا طازجة أو مبردة,"Edible offal of guinea fowls, fresh or chilled"
20760200002,أحشاء وأطراف للأكل من دجاج غينيا مجمدة,"Edible offal of guinea fowls, frozen"
20800000000,لحوم وأحشاء وأطراف أخر صالحة للأكل، طازجة أو مبردة أو مجمدة.,"Other meat and edible meat offal, fresh, chilled or frozen."
20810000000,- من أرانب أو أرانب برية :,- Of rabbits or hares:
20810100000,- - - طازجة أو مبردة,- - - Fresh or chilled
20810200000,- - - مجمدة,- - - Frozen
20830000000,- من حيوانات رئيسة :,- Of primates :
20830000001,من حيوانات رئيسية طازجة,Of fresh primates
20830000002,من حيوانات رئيسية مبردة,Of chilled primates
20830000003,من حيوانات رئيسية مجمدة,Of frozen primates
20840000000,- من حيتان ودلافين وخنازير بحرية (ثدييات من رتبة الحيتان) ؛ خراف بحر و أطومات (ثدييات من رتبة الخيلانيات) ؛ من عجول بحر وفقمات وفظ (ثدييات من الرتبة الفرعية لزعنفيات الأقدام) :,"- Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia) :"
20840100000,- - - لحوم للأكل من حيتان ودلافين وخنازير بحر؛ خراف بحر و أطومات ( ثدييات من رتبة الخيلانيات) طازجة او مبردة او مجمدة,"- - - Edible meat Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
20840200000,- - - لحوم للأكل من عجول بحر وفقمات وفظ ( ثدييات من الرتبة الفرعية لزعنفيات الأقدام ) طازجة او مبردة او مجمدة,"- - - Edible meat of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
20840300000,- - - أحشاء للأكل من حيتان ودلافين وخنازير بحر؛ خراف بحر و أطومات ( ثدييات من رتبة الخيلانيات) طازجة او مبردة او مجمدة,"- - - Edible offal of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
20840400000,- - - أحشاء للأكل من عجول بحر وفقمات وفظ ( ثدييات من الرتبة الفرعية لزعنفيات الأقدام ) طازجة او مبردة او مجمدة,"- - - Edible offal of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
20850000000,- من زواحف (بما فيها الثعابين والسلاحف),- Of reptiles (including snakes and turtles)
20860000000,- من جمال وحيوانات أخر من فصيلة الجمال :,- Of camels and other camelids (Camelidae):
20860100000,- - - طازجة أو مبردة :,- - - Fresh or chilled :
20860100001,ذبائح جمال كاملة طازجة او مبردة,Whole fresh or chilled camels
20860100002,أنصاف ذبائح جمال طازجة او مبردة,Fresh or chilled half camels
20860100010,اكباد جمال طازجة أو مبردة,Fresh or chilled livers of camels
20860109999,غيرها من لحوم وأحشاء و أطراف أخر صالحة للأكل طازجة أو مبردة من جمال و حيوانات أخر من فصيلة الجمال,Other fresh and chilled meat and edible meat offal of camels and other camelids
20860200000,- - - مجمدة :,- - - Frozen :
20860200001,لحوم جمال كاملة مجمدة,Whole frozen camels
20860200002,لحوم أنصاف جمال مجمدة,Half frozen camels
20860200010,اكباد جمال مجمدة,Frozen camel livers
20860209999,غيرها من لحوم وأحشاء و أطراف أخر صالحة للأكل مجمدة من جمال و حيوانات أخر من فصيلة الجمال,Other frozen meat and edible meat offal of camels and other camelids
20890000000,- غيرها :,- Other:
20890200000,- - - غزلان وظباء :,- - - Gazelles and deer :
20890210000,- - - - طازجة أو مبردة :,- - - - Fresh or chilled :
20890210001,لحوم غزلان طازجة أو مبردة,Fresh or chilled gazelles meat
20890210002,لحوم ظباء طازجة أو مبردة,Fresh or chilled deer meat
20890220000,- - - - مجمدة :,- - - - Frozen :
